year,F,M
1880,0,16
1881,0,22
1882,0,23
1883,0,31
1884,0,22
1885,0,9
1886,0,26
1887,0,34
1888,0,32
1889,0,27
1890,0,27
1891,0,35
1892,0,30
1893,0,28
1894,0,34
1895,0,28
1896,0,32
1897,0,41
1898,0,30
1899,0,32
1900,0,48
1901,0,28
1902,0,42
1903,0,37
1904,0,43
1905,0,38
1906,0,45
1907,0,56
1908,0,41
1909,0,64
1910,0,51
1911,0,90
1912,0,172
1913,0,193
1914,0,232
1915,0,320
1916,0,333
1917,0,303
1918,0,344
1919,0,294
1920,0,308
1921,0,300
1922,0,317
1923,0,312
1924,0,287
1925,0,292
1926,0,278
1927,0,260
1928,0,258
1929,0,230
1930,0,229
1931,0,230
1932,0,183
1933,0,179
1934,0,182
1935,0,175
1936,6,161
1937,0,188
1938,0,158
1939,0,160
1940,0,160
1941,0,188
1942,0,192
1943,0,170
1944,0,156
1945,0,136
1946,0,150
1947,0,152
1948,0,136
1949,0,121
1950,0,126
1951,0,139
1952,0,123
1953,0,119
1954,0,137
1955,0,140
1956,0,134
1957,0,130
1958,0,106
1959,0,129
1960,0,93
1961,0,111
1962,0,86
1963,0,86
1964,0,79
1965,0,85
1966,0,64
1967,0,70
1968,0,58
1969,0,60
1970,0,65
1971,0,52
1972,0,54
1973,0,50
1974,0,47
1975,0,43
1976,0,40
1977,0,47
1978,0,41
1979,0,59
1980,0,52
1981,0,44
1982,0,45
1983,0,52
1984,0,41
1985,0,47
1986,0,40
1987,0,31
1988,0,42
1989,0,46
1990,0,36
1991,0,47
1992,0,43
1993,0,46
1994,0,41
1995,0,33
1996,0,33
1997,0,44
1998,0,32
1999,0,36
2000,0,28
2001,0,43
2002,0,44
2003,0,34
2004,0,36
2005,0,53
2006,0,35
2007,0,45
2008,0,44
2009,0,28
2010,0,39
2011,0,34
2012,0,40
2013,0,42
2014,0,42
2015,0,44
2016,0,52
2017,0,56
2018,0,43
2019,0,49
