year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,6,0
1914,0,0
1915,6,0
1916,6,0
1917,0,0
1918,8,0
1919,0,0
1920,8,0
1921,7,0
1922,8,0
1923,11,0
1924,11,0
1925,10,0
1926,6,0
1927,10,0
1928,18,0
1929,20,0
1930,13,0
1931,7,0
1932,13,0
1933,11,0
1934,10,0
1935,12,0
1936,13,0
1937,12,0
1938,0,0
1939,12,0
1940,8,0
1941,18,0
1942,10,0
1943,13,0
1944,9,0
1945,15,0
1946,12,0
1947,12,0
1948,14,0
1949,6,0
1950,14,0
1951,9,0
1952,0,0
1953,7,0
1954,8,0
1955,11,0
1956,8,0
1957,0,0
1958,9,0
1959,9,0
1960,6,0
1961,6,0
1962,8,0
1963,13,0
1964,10,0
1965,0,0
1966,5,0
1967,5,0
1968,5,0
1969,11,0
1970,7,0
1971,6,0
1972,14,0
1973,11,0
1974,6,0
1975,11,0
1976,12,0
1977,9,0
1978,17,0
1979,15,0
1980,11,0
1981,19,0
1982,11,0
1983,7,0
1984,6,0
1985,8,0
1986,13,0
1987,14,0
1988,0,0
1989,13,0
1990,15,0
1991,6,0
1992,6,0
1993,8,0
1994,5,0
1995,10,0
1996,8,0
1997,10,0
1998,10,0
1999,8,0
2000,8,0
2001,7,0
2002,11,0
2003,6,0
2004,0,0
2005,5,0
2006,0,0
2007,5,0
2008,0,0
2009,0,0
2010,8,0
2011,0,0
2012,0,0
2013,5,0
2014,5,0
2015,7,0
2016,0,0
2017,5,0
2018,7,0
2019,5,0
