year,F,M
1880,0,305
1881,0,266
1882,0,262
1883,0,254
1884,0,290
1885,0,285
1886,0,214
1887,0,221
1888,0,254
1889,0,199
1890,0,183
1891,0,193
1892,0,210
1893,0,191
1894,0,186
1895,0,178
1896,0,168
1897,0,156
1898,0,170
1899,0,120
1900,0,224
1901,7,158
1902,0,168
1903,0,126
1904,0,166
1905,0,168
1906,0,157
1907,0,164
1908,0,155
1909,5,147
1910,8,181
1911,0,160
1912,0,288
1913,0,278
1914,9,359
1915,12,414
1916,16,461
1917,12,457
1918,8,462
1919,14,470
1920,18,485
1921,16,456
1922,9,435
1923,11,421
1924,16,430
1925,22,350
1926,12,398
1927,14,365
1928,17,321
1929,18,323
1930,11,289
1931,13,258
1932,18,282
1933,9,246
1934,14,254
1935,19,240
1936,11,238
1937,13,188
1938,13,236
1939,10,192
1940,13,201
1941,13,208
1942,6,198
1943,19,208
1944,12,200
1945,8,156
1946,0,159
1947,10,188
1948,10,161
1949,11,172
1950,9,174
1951,10,144
1952,6,156
1953,6,138
1954,5,129
1955,7,140
1956,0,140
1957,9,125
1958,0,130
1959,0,137
1960,0,135
1961,0,99
1962,0,109
1963,0,149
1964,5,101
1965,0,92
1966,0,83
1967,0,76
1968,6,81
1969,0,96
1970,0,94
1971,6,84
1972,0,73
1973,0,66
1974,0,72
1975,9,65
1976,11,57
1977,14,75
1978,18,70
1979,17,71
1980,15,78
1981,23,84
1982,17,72
1983,19,55
1984,26,64
1985,46,50
1986,54,63
1987,63,61
1988,62,51
1989,63,47
1990,56,56
1991,51,50
1992,59,37
1993,52,42
1994,60,43
1995,60,48
1996,69,49
1997,80,33
1998,90,39
1999,78,42
2000,73,44
2001,73,37
2002,93,45
2003,122,47
2004,168,74
2005,192,69
2006,224,66
2007,239,80
2008,263,77
2009,279,92
2010,324,92
2011,462,85
2012,484,75
2013,578,89
2014,640,77
2015,603,85
2016,560,79
2017,611,95
2018,552,100
2019,548,85
