year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,23,0
1893,15,0
1894,20,0
1895,11,0
1896,10,0
1897,14,0
1898,8,0
1899,5,0
1900,6,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,5,0
1908,0,0
1909,0,0
1910,0,0
1911,11,0
1912,7,0
1913,10,0
1914,16,0
1915,15,0
1916,18,0
1917,8,0
1918,13,0
1919,28,0
1920,32,0
1921,17,0
1922,25,0
1923,29,0
1924,25,0
1925,31,0
1926,22,0
1927,19,0
1928,24,0
1929,15,0
1930,15,0
1931,15,0
1932,11,0
1933,14,0
1934,14,0
1935,9,0
1936,23,0
1937,17,0
1938,21,0
1939,0,0
1940,15,0
1941,14,0
1942,19,0
1943,18,0
1944,19,0
1945,13,0
1946,20,0
1947,15,0
1948,24,0
1949,24,0
1950,15,0
1951,16,0
1952,20,0
1953,17,0
1954,14,0
1955,13,0
1956,12,0
1957,19,0
1958,17,0
1959,12,0
1960,15,0
1961,19,0
1962,12,0
1963,25,0
1964,13,0
1965,28,0
1966,22,0
1967,28,0
1968,18,0
1969,34,0
1970,45,0
1971,54,0
1972,44,0
1973,42,0
1974,37,0
1975,36,0
1976,33,0
1977,40,0
1978,36,0
1979,25,0
1980,18,0
1981,27,0
1982,13,0
1983,12,0
1984,17,0
1985,17,0
1986,25,0
1987,26,0
1988,22,0
1989,30,0
1990,30,0
1991,21,0
1992,20,0
1993,22,0
1994,21,0
1995,24,0
1996,22,0
1997,23,0
1998,30,0
1999,17,0
2000,21,0
2001,17,0
2002,21,0
2003,22,0
2004,22,0
2005,12,0
2006,19,0
2007,12,0
2008,20,0
2009,11,0
2010,10,0
2011,16,0
2012,25,0
2013,18,0
2014,20,0
2015,20,0
2016,15,0
2017,15,0
2018,17,0
2019,23,0
