year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,7
1901,0,5
1902,0,0
1903,0,6
1904,0,0
1905,0,11
1906,0,8
1907,0,13
1908,0,8
1909,0,5
1910,0,8
1911,0,12
1912,0,42
1913,0,32
1914,0,42
1915,0,86
1916,0,92
1917,0,85
1918,0,105
1919,0,108
1920,0,143
1921,0,144
1922,0,151
1923,0,145
1924,0,206
1925,0,182
1926,0,216
1927,0,218
1928,0,244
1929,6,249
1930,0,265
1931,0,304
1932,5,338
1933,0,330
1934,0,358
1935,0,414
1936,0,408
1937,0,375
1938,5,468
1939,7,475
1940,5,473
1941,0,491
1942,0,526
1943,0,503
1944,5,469
1945,0,431
1946,0,568
1947,6,650
1948,0,564
1949,0,597
1950,6,531
1951,5,603
1952,6,580
1953,0,562
1954,8,608
1955,0,608
1956,0,628
1957,6,640
1958,7,625
1959,0,645
1960,5,658
1961,7,646
1962,5,639
1963,0,584
1964,0,594
1965,0,500
1966,6,507
1967,7,483
1968,0,486
1969,0,401
1970,5,392
1971,0,352
1972,0,343
1973,5,261
1974,5,252
1975,0,218
1976,0,209
1977,0,204
1978,0,204
1979,0,223
1980,0,204
1981,0,188
1982,0,175
1983,0,181
1984,0,175
1985,0,173
1986,0,179
1987,0,213
1988,0,185
1989,0,191
1990,0,173
1991,0,178
1992,0,129
1993,0,144
1994,0,94
1995,0,84
1996,0,86
1997,0,97
1998,0,75
1999,0,75
2000,0,71
2001,0,70
2002,0,49
2003,0,55
2004,0,42
2005,0,63
2006,0,57
2007,0,42
2008,0,47
2009,0,42
2010,0,34
2011,0,43
2012,0,35
2013,0,40
2014,0,48
2015,0,29
2016,0,22
2017,0,19
2018,0,29
2019,0,28
