year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,0,0
1910,0,0
1911,0,0
1912,12,0
1913,19,0
1914,23,0
1915,24,0
1916,32,0
1917,36,0
1918,44,0
1919,35,0
1920,45,0
1921,46,0
1922,48,0
1923,51,0
1924,54,0
1925,47,0
1926,48,0
1927,56,0
1928,64,0
1929,44,0
1930,59,0
1931,42,0
1932,46,0
1933,39,0
1934,38,0
1935,53,0
1936,39,0
1937,48,0
1938,46,0
1939,36,0
1940,36,0
1941,35,0
1942,26,0
1943,21,0
1944,20,0
1945,40,0
1946,33,0
1947,22,0
1948,26,0
1949,25,0
1950,29,0
1951,22,0
1952,19,0
1953,32,0
1954,19,0
1955,21,0
1956,19,0
1957,18,0
1958,17,0
1959,17,0
1960,16,0
1961,16,0
1962,8,0
1963,8,0
1964,17,0
1965,9,0
1966,11,0
1967,12,0
1968,6,0
1969,13,0
1970,9,0
1971,9,0
1972,6,0
1973,8,0
1974,9,0
1975,7,0
1976,0,0
1977,14,0
1978,0,0
1979,8,0
1980,8,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,6,0
1987,7,0
1988,0,0
1989,5,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,5,0
2009,0,0
2010,0,0
2011,0,0
2012,5,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
