year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,5,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,6,0
1914,6,0
1915,9,0
1916,5,0
1917,8,0
1918,8,0
1919,10,0
1920,12,0
1921,16,0
1922,8,0
1923,8,0
1924,14,0
1925,13,0
1926,14,0
1927,9,0
1928,20,0
1929,10,0
1930,9,0
1931,12,0
1932,11,0
1933,8,0
1934,6,0
1935,9,0
1936,7,0
1937,11,0
1938,7,0
1939,10,0
1940,10,0
1941,8,0
1942,9,0
1943,10,0
1944,12,0
1945,10,0
1946,6,0
1947,15,0
1948,13,0
1949,7,0
1950,10,0
1951,15,0
1952,8,0
1953,15,0
1954,14,0
1955,14,0
1956,12,0
1957,11,0
1958,9,0
1959,7,0
1960,14,0
1961,8,0
1962,8,0
1963,13,0
1964,14,0
1965,7,0
1966,8,0
1967,6,0
1968,8,0
1969,5,0
1970,0,0
1971,0,0
1972,9,0
1973,11,0
1974,10,0
1975,10,0
1976,6,0
1977,7,0
1978,7,0
1979,10,0
1980,13,0
1981,10,0
1982,6,0
1983,8,0
1984,7,0
1985,8,0
1986,9,0
1987,16,0
1988,13,0
1989,6,0
1990,10,0
1991,5,0
1992,7,0
1993,10,0
1994,16,0
1995,9,0
1996,8,0
1997,11,0
1998,12,0
1999,0,0
2000,0,0
2001,10,0
2002,0,0
2003,8,0
2004,5,0
2005,9,0
2006,7,0
2007,0,0
2008,0,0
2009,9,0
2010,0,0
2011,6,0
2012,8,0
2013,0,0
2014,10,0
2015,6,0
2016,0,0
2017,0,0
2018,0,0
2019,7,0
