year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,5,0
1893,0,0
1894,0,0
1895,7,0
1896,0,0
1897,0,0
1898,0,0
1899,6,0
1900,0,0
1901,0,0
1902,6,0
1903,9,0
1904,5,0
1905,8,0
1906,0,0
1907,7,0
1908,5,0
1909,7,0
1910,13,0
1911,19,0
1912,17,0
1913,25,0
1914,42,0
1915,54,0
1916,47,0
1917,65,0
1918,59,0
1919,52,0
1920,74,0
1921,78,0
1922,67,0
1923,59,0
1924,79,0
1925,60,0
1926,71,0
1927,55,0
1928,60,0
1929,63,0
1930,68,0
1931,67,0
1932,57,0
1933,47,0
1934,57,0
1935,58,0
1936,47,0
1937,61,0
1938,56,0
1939,49,0
1940,48,0
1941,52,0
1942,54,0
1943,48,0
1944,36,0
1945,30,0
1946,38,0
1947,36,0
1948,38,0
1949,35,0
1950,31,0
1951,28,0
1952,31,0
1953,20,0
1954,30,0
1955,18,0
1956,26,0
1957,20,0
1958,25,0
1959,22,0
1960,18,0
1961,24,0
1962,23,0
1963,14,0
1964,15,0
1965,12,0
1966,12,0
1967,15,0
1968,11,0
1969,6,0
1970,8,0
1971,9,0
1972,12,0
1973,7,0
1974,9,0
1975,8,0
1976,6,0
1977,0,0
1978,6,0
1979,6,0
1980,0,0
1981,0,0
1982,5,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,6,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
