year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,5,0
1908,0,0
1909,0,0
1910,0,0
1911,6,0
1912,11,0
1913,7,0
1914,17,0
1915,19,0
1916,14,0
1917,18,0
1918,12,0
1919,23,0
1920,21,0
1921,34,0
1922,30,0
1923,19,0
1924,26,0
1925,33,0
1926,22,0
1927,36,0
1928,26,0
1929,20,0
1930,35,0
1931,25,0
1932,34,0
1933,30,0
1934,26,0
1935,26,0
1936,18,0
1937,19,0
1938,15,0
1939,20,0
1940,9,0
1941,14,0
1942,17,0
1943,22,0
1944,20,0
1945,29,0
1946,22,0
1947,26,0
1948,26,0
1949,30,0
1950,32,0
1951,30,0
1952,29,0
1953,28,0
1954,24,0
1955,30,0
1956,28,0
1957,37,0
1958,27,0
1959,34,0
1960,36,0
1961,26,0
1962,20,0
1963,19,0
1964,18,0
1965,38,0
1966,24,0
1967,18,0
1968,31,0
1969,20,0
1970,24,0
1971,24,0
1972,31,0
1973,27,0
1974,27,0
1975,30,0
1976,19,0
1977,30,0
1978,22,0
1979,38,0
1980,33,0
1981,28,0
1982,38,0
1983,25,0
1984,20,0
1985,23,0
1986,23,0
1987,34,0
1988,21,0
1989,29,0
1990,41,0
1991,29,0
1992,30,0
1993,32,0
1994,31,0
1995,24,0
1996,29,0
1997,28,0
1998,29,0
1999,26,0
2000,27,0
2001,30,0
2002,27,0
2003,29,0
2004,33,0
2005,31,0
2006,30,0
2007,22,0
2008,27,0
2009,22,0
2010,15,0
2011,9,0
2012,13,0
2013,12,0
2014,14,0
2015,16,0
2016,13,0
2017,22,0
2018,17,0
2019,12,0
