year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,6
1914,0,12
1915,0,12
1916,0,10
1917,7,0
1918,0,7
1919,0,11
1920,5,9
1921,8,18
1922,6,14
1923,6,17
1924,0,11
1925,0,8
1926,8,16
1927,6,11
1928,0,7
1929,6,7
1930,0,13
1931,5,18
1932,8,13
1933,7,14
1934,6,15
1935,0,19
1936,5,16
1937,0,9
1938,0,16
1939,0,17
1940,13,14
1941,5,18
1942,6,12
1943,5,16
1944,0,8
1945,0,0
1946,0,8
1947,0,9
1948,0,13
1949,0,9
1950,7,6
1951,6,7
1952,0,11
1953,11,5
1954,11,13
1955,14,10
1956,0,10
1957,0,10
1958,5,5
1959,0,11
1960,5,7
1961,0,5
1962,5,10
1963,6,8
1964,0,9
1965,7,9
1966,0,0
1967,0,8
1968,0,5
1969,0,7
1970,0,7
1971,0,0
1972,0,0
1973,0,7
1974,0,7
1975,0,0
1976,0,6
1977,0,0
1978,0,5
1979,0,0
1980,0,0
1981,0,6
1982,0,0
1983,0,0
1984,0,0
1985,0,5
1986,0,0
1987,0,0
1988,0,7
1989,0,0
1990,0,0
1991,0,5
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
