year,F,M
1880,11,0
1881,14,0
1882,17,0
1883,27,0
1884,29,0
1885,28,0
1886,31,0
1887,32,0
1888,44,0
1889,39,0
1890,41,0
1891,38,0
1892,48,0
1893,61,0
1894,59,0
1895,62,0
1896,68,0
1897,59,0
1898,55,0
1899,58,0
1900,79,0
1901,56,0
1902,66,0
1903,62,0
1904,73,0
1905,70,0
1906,62,0
1907,71,0
1908,71,0
1909,65,0
1910,80,0
1911,81,0
1912,114,0
1913,93,0
1914,128,0
1915,107,0
1916,164,0
1917,187,0
1918,169,0
1919,163,0
1920,166,0
1921,161,0
1922,174,0
1923,175,0
1924,148,0
1925,149,0
1926,143,0
1927,158,0
1928,138,0
1929,99,0
1930,94,0
1931,92,0
1932,97,0
1933,87,0
1934,81,0
1935,86,0
1936,78,0
1937,72,0
1938,72,0
1939,70,0
1940,64,0
1941,72,0
1942,85,0
1943,70,0
1944,61,0
1945,52,0
1946,58,0
1947,44,0
1948,49,0
1949,37,0
1950,36,0
1951,20,0
1952,37,0
1953,33,0
1954,28,0
1955,31,0
1956,28,0
1957,30,0
1958,21,0
1959,16,0
1960,11,0
1961,13,0
1962,14,0
1963,8,0
1964,9,0
1965,11,0
1966,12,0
1967,12,0
1968,5,0
1969,6,0
1970,13,0
1971,7,0
1972,12,0
1973,12,0
1974,0,0
1975,6,0
1976,6,0
1977,7,0
1978,7,0
1979,11,0
1980,5,0
1981,6,0
1982,0,0
1983,6,0
1984,8,0
1985,0,0
1986,5,0
1987,6,0
1988,0,0
1989,5,0
1990,11,0
1991,27,0
1992,26,0
1993,22,0
1994,24,0
1995,21,0
1996,32,0
1997,34,0
1998,30,0
1999,45,0
2000,39,0
2001,42,0
2002,64,0
2003,53,0
2004,54,0
2005,76,0
2006,79,0
2007,80,0
2008,96,0
2009,115,0
2010,89,0
2011,98,0
2012,89,0
2013,102,0
2014,127,0
2015,118,0
2016,131,0
2017,124,0
2018,137,0
2019,175,0
