year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,7,0
1909,0,0
1910,0,0
1911,0,0
1912,7,0
1913,8,0
1914,11,0
1915,18,0
1916,19,0
1917,18,0
1918,20,0
1919,14,0
1920,14,0
1921,11,0
1922,10,0
1923,20,0
1924,22,0
1925,34,0
1926,28,0
1927,37,0
1928,28,0
1929,29,0
1930,25,0
1931,25,0
1932,23,0
1933,16,0
1934,16,0
1935,27,0
1936,13,0
1937,16,0
1938,25,0
1939,17,0
1940,21,0
1941,25,0
1942,27,0
1943,19,0
1944,27,0
1945,26,0
1946,24,0
1947,23,0
1948,29,0
1949,24,0
1950,22,0
1951,26,0
1952,21,0
1953,26,0
1954,12,0
1955,23,0
1956,19,0
1957,27,0
1958,36,0
1959,33,0
1960,37,0
1961,23,0
1962,27,0
1963,24,0
1964,16,0
1965,22,0
1966,25,0
1967,25,0
1968,26,0
1969,37,0
1970,32,0
1971,30,0
1972,37,0
1973,32,0
1974,27,0
1975,20,0
1976,32,0
1977,26,0
1978,28,0
1979,31,0
1980,34,0
1981,31,0
1982,20,0
1983,27,0
1984,25,0
1985,29,0
1986,31,0
1987,20,0
1988,30,0
1989,26,0
1990,34,0
1991,37,0
1992,28,0
1993,23,0
1994,27,0
1995,28,0
1996,24,0
1997,23,0
1998,30,0
1999,26,0
2000,35,0
2001,31,0
2002,19,0
2003,22,0
2004,21,0
2005,14,0
2006,21,0
2007,22,0
2008,19,0
2009,16,0
2010,16,0
2011,14,0
2012,10,0
2013,12,0
2014,9,0
2015,10,0
2016,10,0
2017,8,0
2018,10,0
2019,8,0
