year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,6,0
1894,0,0
1895,0,0
1896,6,0
1897,0,0
1898,0,0
1899,5,0
1900,9,0
1901,5,0
1902,7,0
1903,6,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,14,0
1909,6,0
1910,14,0
1911,13,0
1912,10,0
1913,21,0
1914,17,0
1915,30,0
1916,28,0
1917,19,0
1918,29,0
1919,19,0
1920,23,0
1921,37,0
1922,25,0
1923,24,0
1924,24,0
1925,15,0
1926,22,0
1927,22,0
1928,16,0
1929,19,0
1930,25,0
1931,12,0
1932,21,0
1933,14,0
1934,21,0
1935,17,0
1936,25,0
1937,16,0
1938,29,0
1939,24,0
1940,15,0
1941,20,0
1942,22,0
1943,21,0
1944,22,0
1945,17,0
1946,26,0
1947,21,0
1948,24,0
1949,11,0
1950,21,0
1951,21,0
1952,16,0
1953,11,0
1954,17,0
1955,14,0
1956,12,0
1957,19,0
1958,15,0
1959,21,0
1960,18,0
1961,19,0
1962,18,0
1963,13,0
1964,24,0
1965,15,0
1966,13,0
1967,5,0
1968,13,0
1969,10,0
1970,15,0
1971,10,0
1972,9,0
1973,8,0
1974,11,0
1975,14,0
1976,11,0
1977,13,0
1978,12,0
1979,7,0
1980,15,0
1981,14,0
1982,19,0
1983,19,0
1984,13,0
1985,20,0
1986,19,0
1987,25,0
1988,18,0
1989,18,0
1990,20,0
1991,17,0
1992,18,0
1993,20,0
1994,32,0
1995,20,0
1996,36,0
1997,37,0
1998,32,0
1999,38,0
2000,32,0
2001,43,0
2002,41,0
2003,39,0
2004,42,0
2005,53,0
2006,39,0
2007,47,0
2008,45,0
2009,31,0
2010,35,0
2011,37,0
2012,50,0
2013,32,0
2014,26,0
2015,32,0
2016,32,0
2017,25,0
2018,22,0
2019,23,0
