year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,5,0
1942,142,0
1943,60,0
1944,38,0
1945,35,0
1946,25,0
1947,24,0
1948,12,0
1949,16,0
1950,16,0
1951,30,0
1952,16,0
1953,16,0
1954,8,0
1955,10,0
1956,5,0
1957,10,0
1958,8,0
1959,12,0
1960,10,0
1961,12,0
1962,10,0
1963,20,0
1964,13,0
1965,12,0
1966,17,0
1967,22,0
1968,15,0
1969,17,0
1970,15,0
1971,20,0
1972,16,0
1973,12,0
1974,15,0
1975,14,0
1976,15,0
1977,18,0
1978,14,0
1979,12,0
1980,18,0
1981,6,0
1982,13,0
1983,8,0
1984,14,0
1985,6,0
1986,9,0
1987,8,0
1988,14,0
1989,14,0
1990,9,0
1991,15,0
1992,9,0
1993,8,0
1994,10,0
1995,6,0
1996,11,0
1997,18,0
1998,10,0
1999,14,0
2000,9,0
2001,9,0
2002,9,0
2003,10,0
2004,8,0
2005,7,0
2006,12,0
2007,13,0
2008,9,0
2009,12,0
2010,11,0
2011,10,0
2012,18,0
2013,0,0
2014,14,0
2015,14,0
2016,14,0
2017,18,0
2018,17,0
2019,13,0
