year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,5
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,7
1941,0,12
1942,0,6
1943,0,5
1944,0,6
1945,0,5
1946,0,10
1947,0,6
1948,0,6
1949,0,5
1950,0,10
1951,0,9
1952,0,13
1953,0,20
1954,0,6
1955,0,20
1956,0,8
1957,0,0
1958,0,15
1959,0,22
1960,0,15
1961,0,39
1962,0,44
1963,0,36
1964,0,41
1965,0,47
1966,0,52
1967,0,56
1968,0,53
1969,0,91
1970,0,167
1971,0,175
1972,0,155
1973,0,186
1974,0,207
1975,0,251
1976,0,373
1977,5,490
1978,0,478
1979,7,668
1980,23,1206
1981,12,1027
1982,10,677
1983,8,557
1984,6,697
1985,6,661
1986,8,665
1987,5,514
1988,0,593
1989,8,574
1990,5,732
1991,6,693
1992,5,584
1993,0,535
1994,5,587
1995,6,520
1996,0,528
1997,0,467
1998,0,499
1999,7,469
2000,0,507
2001,6,453
2002,6,452
2003,17,612
2004,16,649
2005,13,645
2006,21,623
2007,20,691
2008,15,748
2009,13,751
2010,23,766
2011,27,851
2012,39,1068
2013,45,1300
2014,45,1634
2015,44,1977
2016,41,2121
2017,51,2505
2018,49,2590
2019,45,2912
