year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,5
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,7,0
1954,6,5
1955,5,0
1956,6,0
1957,15,5
1958,7,0
1959,9,5
1960,11,12
1961,20,16
1962,29,13
1963,27,14
1964,18,14
1965,33,8
1966,22,18
1967,28,11
1968,34,32
1969,53,38
1970,133,69
1971,149,55
1972,116,65
1973,115,79
1974,130,78
1975,98,74
1976,84,72
1977,65,77
1978,107,71
1979,89,86
1980,134,87
1981,116,80
1982,99,61
1983,93,57
1984,97,67
1985,92,73
1986,92,64
1987,114,106
1988,106,128
1989,124,123
1990,129,118
1991,117,154
1992,128,109
1993,127,115
1994,157,130
1995,160,129
1996,159,116
1997,157,101
1998,148,90
1999,167,84
2000,156,93
2001,125,61
2002,140,75
2003,131,101
2004,141,92
2005,123,90
2006,122,92
2007,127,88
2008,148,75
2009,109,86
2010,111,68
2011,102,76
2012,84,61
2013,115,53
2014,144,53
2015,172,61
2016,171,87
2017,180,72
2018,165,87
2019,198,73
