year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,6
1955,0,0
1956,0,6
1957,0,5
1958,0,5
1959,0,9
1960,0,7
1961,0,6
1962,0,0
1963,0,6
1964,0,13
1965,0,9
1966,0,5
1967,0,6
1968,0,0
1969,0,5
1970,0,7
1971,0,13
1972,0,10
1973,0,8
1974,0,21
1975,5,26
1976,0,23
1977,10,34
1978,7,52
1979,13,55
1980,13,79
1981,16,175
1982,15,201
1983,17,244
1984,28,319
1985,19,393
1986,44,423
1987,92,454
1988,86,551
1989,90,676
1990,283,847
1991,224,881
1992,314,1097
1993,402,1191
1994,382,1355
1995,441,1335
1996,536,1392
1997,634,1387
1998,1022,1384
1999,1219,1427
2000,1284,1472
2001,1145,1508
2002,1162,1558
2003,1132,1486
2004,1032,1424
2005,1018,1403
2006,1037,1280
2007,874,1264
2008,765,1310
2009,759,1334
2010,639,1320
2011,654,1221
2012,838,1228
2013,872,1123
2014,1084,919
2015,1120,911
2016,909,767
2017,816,650
2018,766,601
2019,709,563
