year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,5,0
1911,0,0
1912,5,0
1913,0,0
1914,8,0
1915,9,0
1916,12,0
1917,14,0
1918,11,0
1919,18,0
1920,11,0
1921,11,0
1922,18,0
1923,13,0
1924,16,0
1925,10,0
1926,11,0
1927,10,0
1928,12,0
1929,11,0
1930,19,0
1931,19,0
1932,11,0
1933,14,0
1934,11,0
1935,17,0
1936,15,0
1937,8,0
1938,12,0
1939,13,0
1940,14,0
1941,18,0
1942,11,0
1943,13,0
1944,14,0
1945,10,0
1946,13,0
1947,15,0
1948,19,0
1949,16,0
1950,12,0
1951,20,0
1952,12,0
1953,19,0
1954,20,0
1955,17,0
1956,11,0
1957,20,0
1958,21,0
1959,21,0
1960,14,0
1961,17,0
1962,12,0
1963,9,0
1964,11,0
1965,9,0
1966,10,0
1967,7,0
1968,0,0
1969,9,0
1970,7,0
1971,7,0
1972,10,0
1973,6,0
1974,0,0
1975,8,0
1976,5,0
1977,0,0
1978,7,0
1979,11,0
1980,20,0
1981,9,0
1982,13,0
1983,10,0
1984,14,0
1985,9,0
1986,11,0
1987,13,0
1988,17,0
1989,15,0
1990,21,0
1991,32,0
1992,49,0
1993,28,0
1994,10,0
1995,7,0
1996,10,0
1997,6,0
1998,10,0
1999,12,0
2000,8,0
2001,0,0
2002,0,0
2003,8,0
2004,5,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,8,0
2011,0,0
2012,10,0
2013,8,0
2014,0,0
2015,0,0
2016,11,0
2017,5,0
2018,0,0
2019,0,0
