year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,6,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,5,0
1932,0,0
1933,0,0
1934,5,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,5,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,5,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,8,0
1951,9,0
1952,6,0
1953,12,0
1954,8,0
1955,7,0
1956,7,0
1957,12,0
1958,8,0
1959,7,0
1960,13,0
1961,10,0
1962,9,0
1963,10,0
1964,9,0
1965,9,0
1966,13,0
1967,8,0
1968,5,0
1969,16,0
1970,17,0
1971,11,0
1972,23,0
1973,21,0
1974,6,0
1975,7,0
1976,18,0
1977,9,0
1978,21,0
1979,12,0
1980,16,0
1981,12,0
1982,15,0
1983,17,0
1984,15,0
1985,22,0
1986,20,0
1987,13,0
1988,13,0
1989,14,0
1990,22,0
1991,16,0
1992,19,0
1993,16,0
1994,16,0
1995,19,0
1996,11,0
1997,19,0
1998,28,0
1999,24,0
2000,27,0
2001,25,0
2002,24,0
2003,36,0
2004,38,0
2005,24,0
2006,33,0
2007,36,0
2008,40,0
2009,57,0
2010,56,0
2011,49,0
2012,44,0
2013,51,0
2014,36,0
2015,47,0
2016,39,0
2017,53,0
2018,46,0
2019,42,0
