year,F,M
1880,0,10
1881,0,7
1882,0,12
1883,0,0
1884,0,0
1885,0,5
1886,0,14
1887,0,6
1888,0,14
1889,0,16
1890,0,14
1891,0,7
1892,0,15
1893,0,11
1894,0,9
1895,0,13
1896,0,20
1897,0,8
1898,0,18
1899,0,11
1900,0,12
1901,0,10
1902,0,15
1903,0,15
1904,0,12
1905,0,13
1906,0,14
1907,0,8
1908,0,13
1909,0,15
1910,0,24
1911,0,21
1912,0,34
1913,0,33
1914,0,54
1915,0,71
1916,0,81
1917,0,75
1918,0,73
1919,0,67
1920,0,78
1921,6,77
1922,0,68
1923,0,77
1924,0,61
1925,0,45
1926,0,70
1927,0,60
1928,0,58
1929,0,54
1930,0,64
1931,0,52
1932,0,47
1933,0,45
1934,0,38
1935,0,46
1936,0,49
1937,0,43
1938,0,38
1939,0,34
1940,0,40
1941,0,38
1942,0,42
1943,0,45
1944,0,52
1945,0,36
1946,0,57
1947,0,56
1948,0,49
1949,0,61
1950,0,57
1951,0,42
1952,0,33
1953,0,60
1954,0,46
1955,0,38
1956,0,61
1957,0,43
1958,0,36
1959,0,30
1960,0,43
1961,0,41
1962,0,36
1963,0,28
1964,0,39
1965,0,35
1966,0,35
1967,0,32
1968,0,34
1969,0,35
1970,5,32
1971,0,38
1972,0,38
1973,0,17
1974,0,25
1975,0,17
1976,0,33
1977,0,28
1978,0,33
1979,0,28
1980,0,28
1981,0,37
1982,0,42
1983,0,36
1984,0,28
1985,0,41
1986,0,42
1987,0,36
1988,0,39
1989,0,37
1990,0,42
1991,0,39
1992,0,31
1993,0,30
1994,0,31
1995,0,32
1996,0,23
1997,0,27
1998,0,31
1999,0,38
2000,0,32
2001,0,35
2002,0,22
2003,0,33
2004,0,37
2005,0,28
2006,0,35
2007,0,40
2008,0,39
2009,0,29
2010,6,37
2011,0,36
2012,0,37
2013,7,50
2014,6,39
2015,6,38
2016,7,55
2017,0,47
2018,6,39
2019,8,42
