year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,5,0
1951,6,0
1952,5,0
1953,0,0
1954,10,0
1955,15,0
1956,20,0
1957,18,0
1958,29,0
1959,27,0
1960,37,0
1961,37,0
1962,35,0
1963,32,0
1964,38,0
1965,42,0
1966,33,0
1967,29,0
1968,29,0
1969,33,0
1970,40,0
1971,35,0
1972,43,0
1973,24,0
1974,30,0
1975,19,0
1976,19,0
1977,35,0
1978,19,0
1979,24,0
1980,22,0
1981,45,0
1982,27,0
1983,29,0
1984,29,0
1985,19,0
1986,32,0
1987,30,0
1988,27,0
1989,35,0
1990,24,0
1991,43,0
1992,27,0
1993,33,0
1994,30,0
1995,29,0
1996,27,0
1997,40,0
1998,27,0
1999,26,0
2000,30,0
2001,57,0
2002,45,0
2003,68,0
2004,60,0
2005,77,0
2006,64,0
2007,72,0
2008,84,0
2009,81,0
2010,95,0
2011,87,0
2012,87,0
2013,73,0
2014,65,0
2015,73,0
2016,75,0
2017,95,0
2018,57,0
2019,54,0
