year,F,M
1880,43,0
1881,32,0
1882,47,0
1883,34,0
1884,45,0
1885,38,0
1886,45,0
1887,51,0
1888,55,0
1889,64,0
1890,82,0
1891,54,0
1892,62,0
1893,54,0
1894,79,0
1895,67,0
1896,54,0
1897,75,0
1898,77,0
1899,60,0
1900,86,0
1901,68,0
1902,87,7
1903,55,5
1904,85,0
1905,79,5
1906,84,0
1907,95,6
1908,87,7
1909,105,6
1910,106,8
1911,108,0
1912,141,7
1913,147,6
1914,190,17
1915,197,22
1916,230,24
1917,244,17
1918,275,17
1919,282,17
1920,284,27
1921,257,23
1922,260,31
1923,260,33
1924,292,32
1925,293,21
1926,270,28
1927,245,33
1928,267,34
1929,260,34
1930,249,28
1931,238,22
1932,231,22
1933,202,31
1934,226,32
1935,184,24
1936,164,26
1937,200,20
1938,150,28
1939,170,25
1940,160,19
1941,143,31
1942,151,23
1943,161,25
1944,130,18
1945,111,13
1946,104,13
1947,116,14
1948,110,15
1949,96,13
1950,80,16
1951,86,12
1952,97,15
1953,65,7
1954,79,12
1955,67,9
1956,68,7
1957,64,9
1958,59,9
1959,56,9
1960,48,18
1961,32,12
1962,38,0
1963,41,19
1964,39,14
1965,30,15
1966,20,12
1967,36,17
1968,35,16
1969,26,21
1970,28,15
1971,28,11
1972,30,18
1973,24,17
1974,23,19
1975,26,8
1976,15,13
1977,15,6
1978,10,15
1979,14,9
1980,11,9
1981,6,7
1982,13,16
1983,17,8
1984,8,10
1985,10,12
1986,10,0
1987,8,7
1988,8,8
1989,5,6
1990,10,9
1991,7,9
1992,9,0
1993,28,11
1994,31,5
1995,40,0
1996,37,0
1997,34,6
1998,29,9
1999,26,5
2000,22,7
2001,19,5
2002,21,8
2003,11,6
2004,35,9
2005,24,10
2006,22,7
2007,22,8
2008,29,8
2009,31,0
2010,15,0
2011,30,8
2012,24,0
2013,24,9
2014,35,5
2015,26,10
2016,41,5
2017,46,0
2018,59,7
2019,68,23
