year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,5,0
1915,0,0
1916,0,0
1917,0,0
1918,6,0
1919,9,0
1920,5,0
1921,8,0
1922,0,0
1923,8,0
1924,7,0
1925,11,0
1926,8,0
1927,5,0
1928,9,0
1929,8,0
1930,12,0
1931,5,0
1932,11,0
1933,14,0
1934,12,0
1935,9,0
1936,7,0
1937,11,0
1938,11,0
1939,7,0
1940,0,0
1941,10,0
1942,8,0
1943,6,0
1944,10,0
1945,9,0
1946,8,0
1947,10,0
1948,5,0
1949,15,0
1950,9,0
1951,5,0
1952,12,0
1953,8,0
1954,15,0
1955,6,0
1956,6,0
1957,11,0
1958,5,0
1959,8,0
1960,0,0
1961,0,0
1962,5,0
1963,5,0
1964,5,0
1965,5,0
1966,6,0
1967,8,0
1968,0,0
1969,0,0
1970,6,0
1971,9,0
1972,0,0
1973,10,0
1974,6,0
1975,11,0
1976,11,0
1977,11,0
1978,7,0
1979,5,0
1980,8,0
1981,7,0
1982,9,0
1983,9,0
1984,12,0
1985,6,0
1986,6,0
1987,7,0
1988,0,0
1989,9,0
1990,7,0
1991,9,0
1992,9,0
1993,6,0
1994,7,0
1995,7,0
1996,13,0
1997,5,0
1998,8,0
1999,8,0
2000,6,0
2001,7,0
2002,0,0
2003,5,0
2004,0,0
2005,6,0
2006,9,0
2007,0,0
2008,0,0
2009,8,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,8,0
2017,5,0
2018,5,0
2019,0,0
