year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,5
1939,0,0
1940,0,0
1941,0,8
1942,0,9
1943,0,0
1944,0,0
1945,0,6
1946,0,7
1947,0,5
1948,0,0
1949,0,6
1950,0,0
1951,0,9
1952,0,8
1953,0,8
1954,0,8
1955,0,6
1956,0,8
1957,0,11
1958,5,5
1959,13,15
1960,13,24
1961,10,17
1962,5,18
1963,6,19
1964,5,11
1965,7,15
1966,7,19
1967,11,28
1968,11,31
1969,17,92
1970,13,122
1971,23,151
1972,8,166
1973,14,138
1974,17,144
1975,25,180
1976,34,250
1977,38,302
1978,40,260
1979,29,164
1980,20,114
1981,16,99
1982,22,107
1983,21,92
1984,15,88
1985,24,79
1986,27,120
1987,28,144
1988,27,130
1989,33,125
1990,36,116
1991,26,142
1992,36,95
1993,59,121
1994,46,109
1995,45,95
1996,36,60
1997,28,71
1998,26,64
1999,30,52
2000,29,44
2001,29,49
2002,16,44
2003,18,42
2004,16,32
2005,17,30
2006,19,35
2007,19,37
2008,14,46
2009,7,40
2010,9,37
2011,10,24
2012,9,27
2013,11,38
2014,8,29
2015,6,29
2016,8,20
2017,7,23
2018,8,24
2019,7,19
