year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,5,0
1919,0,0
1920,6,0
1921,6,0
1922,0,0
1923,8,0
1924,6,0
1925,9,0
1926,10,0
1927,13,0
1928,10,0
1929,5,0
1930,11,0
1931,0,0
1932,8,0
1933,6,0
1934,5,0
1935,9,0
1936,7,0
1937,6,0
1938,8,0
1939,5,0
1940,8,0
1941,16,0
1942,10,0
1943,6,0
1944,14,0
1945,11,0
1946,11,0
1947,15,0
1948,9,0
1949,5,0
1950,12,0
1951,15,0
1952,23,0
1953,8,0
1954,15,0
1955,24,0
1956,28,0
1957,31,0
1958,27,0
1959,30,0
1960,31,0
1961,25,0
1962,21,0
1963,30,0
1964,28,0
1965,29,0
1966,29,0
1967,28,0
1968,29,0
1969,28,0
1970,32,0
1971,22,0
1972,44,0
1973,27,0
1974,26,0
1975,25,0
1976,20,0
1977,28,0
1978,22,0
1979,18,0
1980,22,0
1981,32,0
1982,25,0
1983,17,0
1984,22,0
1985,19,0
1986,22,0
1987,31,0
1988,16,0
1989,24,0
1990,28,0
1991,24,0
1992,25,0
1993,30,0
1994,23,0
1995,26,0
1996,29,0
1997,28,0
1998,31,0
1999,41,0
2000,21,0
2001,34,0
2002,21,0
2003,26,0
2004,34,0
2005,26,0
2006,20,0
2007,26,0
2008,24,0
2009,15,0
2010,17,0
2011,17,0
2012,23,0
2013,20,0
2014,16,0
2015,18,0
2016,11,0
2017,12,0
2018,17,0
2019,23,0
