year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,7,0
1916,0,0
1917,0,0
1918,0,0
1919,5,0
1920,11,0
1921,0,0
1922,5,0
1923,5,0
1924,0,0
1925,7,0
1926,6,0
1927,6,0
1928,0,0
1929,0,0
1930,0,0
1931,8,0
1932,10,0
1933,13,0
1934,9,0
1935,15,0
1936,10,0
1937,10,0
1938,6,0
1939,11,0
1940,8,0
1941,14,0
1942,7,0
1943,11,0
1944,10,0
1945,8,0
1946,10,0
1947,14,0
1948,14,0
1949,6,0
1950,15,0
1951,11,0
1952,11,0
1953,8,0
1954,14,0
1955,5,0
1956,5,0
1957,13,0
1958,12,0
1959,6,0
1960,9,0
1961,5,0
1962,6,0
1963,6,0
1964,8,0
1965,6,0
1966,7,0
1967,0,0
1968,0,0
1969,8,0
1970,8,0
1971,5,0
1972,5,0
1973,0,0
1974,0,0
1975,7,0
1976,9,0
1977,0,0
1978,0,0
1979,8,0
1980,5,0
1981,0,0
1982,0,0
1983,5,0
1984,0,0
1985,0,0
1986,5,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
