year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,6,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,5,0
1892,6,0
1893,0,0
1894,0,0
1895,0,0
1896,6,0
1897,0,0
1898,0,0
1899,0,0
1900,6,0
1901,6,0
1902,0,0
1903,0,0
1904,7,0
1905,12,0
1906,5,0
1907,5,0
1908,0,0
1909,5,0
1910,5,0
1911,0,0
1912,0,0
1913,8,0
1914,12,0
1915,12,0
1916,12,0
1917,11,0
1918,17,0
1919,6,0
1920,16,0
1921,6,0
1922,0,0
1923,11,0
1924,14,0
1925,5,0
1926,8,0
1927,6,0
1928,7,0
1929,6,0
1930,9,0
1931,0,0
1932,6,0
1933,0,0
1934,0,0
1935,9,0
1936,7,0
1937,11,0
1938,15,0
1939,12,0
1940,20,0
1941,23,0
1942,24,0
1943,25,0
1944,26,0
1945,29,0
1946,53,0
1947,56,0
1948,64,0
1949,58,0
1950,64,0
1951,83,0
1952,68,0
1953,82,0
1954,81,0
1955,104,0
1956,120,0
1957,123,0
1958,138,0
1959,110,0
1960,116,0
1961,130,0
1962,159,0
1963,165,0
1964,146,0
1965,168,0
1966,127,0
1967,129,0
1968,138,0
1969,165,0
1970,147,0
1971,149,0
1972,100,0
1973,107,0
1974,93,0
1975,102,0
1976,79,0
1977,76,0
1978,67,0
1979,53,0
1980,71,0
1981,53,0
1982,46,0
1983,50,0
1984,27,0
1985,29,0
1986,22,0
1987,23,0
1988,28,0
1989,25,0
1990,21,0
1991,19,0
1992,13,0
1993,17,0
1994,16,0
1995,11,0
1996,13,0
1997,9,0
1998,11,0
1999,5,0
2000,8,0
2001,11,0
2002,13,0
2003,8,0
2004,8,0
2005,5,0
2006,0,0
2007,0,0
2008,0,0
2009,5,0
2010,5,0
2011,5,0
2012,0,0
2013,7,0
2014,0,0
2015,5,0
2016,7,0
2017,6,0
2018,0,0
2019,0,0
