year,F,M
1880,5,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,5,0
1886,0,0
1887,5,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,8,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,6,0
1905,6,0
1906,5,0
1907,0,0
1908,8,0
1909,0,0
1910,0,0
1911,0,0
1912,5,0
1913,0,0
1914,8,0
1915,6,0
1916,16,0
1917,12,0
1918,14,0
1919,12,0
1920,18,0
1921,15,0
1922,14,0
1923,11,0
1924,15,0
1925,11,0
1926,17,0
1927,7,0
1928,7,0
1929,7,0
1930,14,0
1931,8,0
1932,5,0
1933,7,0
1934,0,0
1935,6,0
1936,9,0
1937,9,0
1938,7,0
1939,5,0
1940,0,0
1941,7,0
1942,10,0
1943,5,0
1944,8,0
1945,5,0
1946,0,0
1947,12,0
1948,9,0
1949,8,0
1950,5,0
1951,11,0
1952,0,0
1953,11,0
1954,5,0
1955,9,0
1956,6,0
1957,9,0
1958,14,0
1959,8,0
1960,13,0
1961,12,0
1962,10,0
1963,14,0
1964,13,0
1965,8,0
1966,5,0
1967,15,0
1968,9,0
1969,5,0
1970,8,0
1971,9,0
1972,12,0
1973,10,0
1974,17,0
1975,9,0
1976,18,0
1977,14,0
1978,13,0
1979,14,0
1980,17,0
1981,20,0
1982,24,0
1983,15,0
1984,12,0
1985,6,0
1986,10,0
1987,10,0
1988,14,0
1989,8,0
1990,19,0
1991,13,0
1992,19,0
1993,14,0
1994,14,0
1995,17,0
1996,14,0
1997,17,0
1998,13,0
1999,23,0
2000,21,0
2001,7,0
2002,16,0
2003,15,0
2004,7,0
2005,11,0
2006,15,0
2007,12,0
2008,17,0
2009,18,0
2010,17,0
2011,18,0
2012,13,0
2013,14,0
2014,20,0
2015,29,0
2016,39,0
2017,29,0
2018,29,0
2019,42,0
