year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,9,0
1889,5,0
1890,6,0
1891,0,0
1892,0,0
1893,7,0
1894,7,0
1895,0,0
1896,0,0
1897,8,0
1898,7,0
1899,9,0
1900,8,0
1901,0,0
1902,8,0
1903,0,0
1904,0,0
1905,10,0
1906,0,0
1907,8,0
1908,7,0
1909,11,0
1910,5,0
1911,17,0
1912,25,0
1913,12,0
1914,27,0
1915,26,0
1916,28,0
1917,45,0
1918,33,0
1919,33,0
1920,40,0
1921,36,0
1922,38,0
1923,45,0
1924,30,0
1925,48,0
1926,39,0
1927,31,0
1928,37,0
1929,33,0
1930,38,0
1931,21,0
1932,33,0
1933,28,0
1934,21,0
1935,36,0
1936,23,0
1937,36,0
1938,32,0
1939,30,0
1940,24,0
1941,32,0
1942,17,0
1943,31,0
1944,14,0
1945,16,0
1946,28,0
1947,31,0
1948,22,0
1949,24,0
1950,20,0
1951,19,0
1952,20,0
1953,23,0
1954,22,0
1955,19,0
1956,23,0
1957,14,0
1958,17,0
1959,14,0
1960,13,0
1961,12,0
1962,19,0
1963,17,0
1964,17,0
1965,9,0
1966,7,0
1967,5,0
1968,6,0
1969,7,0
1970,9,0
1971,0,0
1972,9,0
1973,11,0
1974,0,0
1975,6,0
1976,7,0
1977,8,0
1978,0,0
1979,0,0
1980,0,0
1981,8,0
1982,5,0
1983,6,0
1984,0,0
1985,0,0
1986,9,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,5,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
