year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,5,0
1900,0,0
1901,0,0
1902,5,0
1903,8,0
1904,0,0
1905,0,0
1906,5,0
1907,0,0
1908,5,0
1909,5,0
1910,5,0
1911,10,0
1912,10,0
1913,15,0
1914,13,0
1915,18,0
1916,24,0
1917,35,0
1918,20,0
1919,35,0
1920,45,0
1921,40,0
1922,42,0
1923,27,0
1924,40,0
1925,41,0
1926,33,0
1927,40,0
1928,37,0
1929,35,0
1930,28,0
1931,29,0
1932,32,0
1933,43,0
1934,32,0
1935,41,0
1936,40,0
1937,37,0
1938,44,0
1939,39,0
1940,38,0
1941,36,0
1942,36,0
1943,43,0
1944,29,0
1945,28,0
1946,24,0
1947,38,0
1948,29,0
1949,29,0
1950,25,0
1951,25,0
1952,26,0
1953,29,0
1954,28,0
1955,25,0
1956,30,0
1957,34,0
1958,19,0
1959,24,0
1960,25,0
1961,15,0
1962,23,0
1963,8,0
1964,9,0
1965,8,0
1966,17,0
1967,13,0
1968,9,0
1969,15,0
1970,8,0
1971,17,0
1972,15,0
1973,10,0
1974,7,0
1975,6,0
1976,10,0
1977,8,0
1978,7,0
1979,6,0
1980,6,0
1981,7,0
1982,7,0
1983,9,0
1984,6,0
1985,0,0
1986,0,0
1987,6,0
1988,7,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,5,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
