year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,5,0
1910,0,0
1911,0,0
1912,0,0
1913,8,0
1914,5,0
1915,0,0
1916,6,0
1917,9,0
1918,6,0
1919,6,0
1920,10,0
1921,6,0
1922,8,0
1923,19,0
1924,12,0
1925,20,0
1926,19,0
1927,17,0
1928,51,0
1929,43,0
1930,27,0
1931,26,0
1932,19,0
1933,10,0
1934,17,0
1935,21,0
1936,9,0
1937,15,0
1938,13,0
1939,15,0
1940,18,0
1941,13,0
1942,20,0
1943,17,0
1944,20,0
1945,15,0
1946,27,0
1947,22,0
1948,29,0
1949,18,0
1950,21,0
1951,18,0
1952,23,0
1953,16,0
1954,14,0
1955,28,0
1956,29,0
1957,26,0
1958,20,0
1959,20,0
1960,23,0
1961,19,0
1962,12,0
1963,21,0
1964,29,0
1965,16,0
1966,27,0
1967,29,0
1968,26,0
1969,27,0
1970,30,0
1971,22,0
1972,26,0
1973,27,0
1974,35,0
1975,34,0
1976,28,0
1977,21,0
1978,27,0
1979,30,0
1980,36,0
1981,29,0
1982,28,0
1983,34,0
1984,29,0
1985,22,0
1986,24,0
1987,22,0
1988,31,0
1989,20,0
1990,38,0
1991,26,0
1992,19,0
1993,26,0
1994,29,0
1995,24,0
1996,23,0
1997,18,0
1998,22,0
1999,25,0
2000,27,0
2001,31,0
2002,30,0
2003,23,0
2004,20,0
2005,23,0
2006,27,0
2007,25,0
2008,12,0
2009,13,0
2010,13,0
2011,7,0
2012,6,0
2013,8,0
2014,11,0
2015,6,0
2016,7,0
2017,11,0
2018,6,0
2019,6,0
