year,M,F
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,5,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,5,0
1925,0,0
1926,0,0
1927,0,0
1928,6,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,5,0
1951,0,0
1952,5,0
1953,0,0
1954,6,0
1955,5,0
1956,0,0
1957,0,0
1958,5,0
1959,0,0
1960,10,0
1961,17,0
1962,9,0
1963,11,0
1964,9,0
1965,16,0
1966,12,0
1967,19,0
1968,13,0
1969,16,0
1970,28,0
1971,26,0
1972,24,0
1973,23,0
1974,30,0
1975,21,0
1976,34,0
1977,31,0
1978,25,0
1979,23,0
1980,31,0
1981,35,0
1982,31,0
1983,38,0
1984,40,0
1985,38,0
1986,35,0
1987,42,0
1988,39,0
1989,41,0
1990,42,0
1991,49,0
1992,63,0
1993,71,0
1994,82,0
1995,67,0
1996,51,0
1997,52,0
1998,60,0
1999,47,0
2000,33,0
2001,48,0
2002,56,0
2003,74,0
2004,62,0
2005,52,0
2006,98,0
2007,72,0
2008,76,0
2009,50,0
2010,52,0
2011,62,0
2012,62,0
2013,53,0
2014,58,0
2015,48,0
2016,58,0
2017,61,0
2018,52,0
2019,61,0
