year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,6
1974,0,72
1975,0,119
1976,0,112
1977,0,311
1978,0,352
1979,8,347
1980,0,317
1981,14,325
1982,0,262
1983,5,218
1984,0,184
1985,0,169
1986,10,478
1987,12,608
1988,12,551
1989,6,661
1990,5,677
1991,7,605
1992,0,539
1993,0,479
1994,6,531
1995,0,469
1996,0,417
1997,0,367
1998,0,343
1999,0,265
2000,0,281
2001,0,301
2002,0,341
2003,0,296
2004,0,264
2005,0,219
2006,0,348
2007,0,439
2008,0,379
2009,0,407
2010,0,396
2011,0,320
2012,0,261
2013,0,243
2014,0,234
2015,0,223
2016,0,185
2017,0,210
2018,0,193
2019,0,202
