year,M,F
1880,12,0
1881,18,0
1882,26,0
1883,19,0
1884,32,0
1885,20,0
1886,15,0
1887,19,0
1888,32,0
1889,17,0
1890,15,0
1891,18,0
1892,19,0
1893,32,0
1894,20,0
1895,20,0
1896,21,0
1897,14,0
1898,19,0
1899,14,0
1900,8,0
1901,8,0
1902,14,0
1903,9,0
1904,7,0
1905,14,0
1906,11,0
1907,16,0
1908,13,0
1909,11,0
1910,11,0
1911,18,0
1912,30,0
1913,39,0
1914,45,0
1915,56,0
1916,58,0
1917,46,0
1918,65,0
1919,34,0
1920,44,0
1921,45,0
1922,38,0
1923,38,0
1924,37,0
1925,47,0
1926,39,0
1927,52,0
1928,32,0
1929,26,0
1930,26,0
1931,42,0
1932,24,0
1933,40,0
1934,32,0
1935,26,0
1936,30,0
1937,38,0
1938,28,0
1939,31,0
1940,35,0
1941,23,0
1942,35,0
1943,36,0
1944,35,0
1945,26,0
1946,46,0
1947,36,0
1948,36,0
1949,41,0
1950,45,0
1951,44,0
1952,46,0
1953,48,0
1954,36,0
1955,55,0
1956,51,0
1957,43,0
1958,42,0
1959,43,0
1960,38,0
1961,46,0
1962,31,0
1963,38,0
1964,27,0
1965,32,0
1966,41,0
1967,33,0
1968,24,0
1969,33,0
1970,29,0
1971,28,0
1972,23,0
1973,32,0
1974,29,0
1975,21,0
1976,37,0
1977,27,0
1978,22,0
1979,28,0
1980,43,0
1981,31,0
1982,41,0
1983,20,0
1984,27,0
1985,18,0
1986,22,0
1987,22,0
1988,15,0
1989,25,0
1990,23,0
1991,17,0
1992,17,0
1993,18,0
1994,12,0
1995,11,0
1996,19,0
1997,14,0
1998,13,0
1999,8,0
2000,14,0
2001,14,0
2002,10,0
2003,9,0
2004,12,0
2005,15,0
2006,7,0
2007,12,0
2008,10,0
2009,16,0
2010,17,0
2011,12,0
2012,11,0
2013,7,0
2014,21,0
2015,14,0
2016,15,0
2017,16,0
2018,11,0
2019,13,0
