year,F,M
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,5,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,6,0
1902,0,0
1903,5,0
1904,5,0
1905,6,0
1906,5,5
1907,0,0
1908,9,0
1909,5,0
1910,5,6
1911,0,6
1912,14,8
1913,18,6
1914,14,7
1915,24,14
1916,21,14
1917,26,20
1918,29,17
1919,34,17
1920,24,22
1921,35,26
1922,22,25
1923,33,25
1924,35,26
1925,41,35
1926,41,35
1927,34,29
1928,41,43
1929,26,33
1930,26,28
1931,32,21
1932,22,27
1933,24,23
1934,20,24
1935,13,18
1936,15,23
1937,18,14
1938,20,17
1939,16,13
1940,27,19
1941,22,12
1942,11,25
1943,15,12
1944,18,24
1945,10,19
1946,19,35
1947,15,27
1948,19,15
1949,13,33
1950,13,18
1951,10,23
1952,19,20
1953,19,13
1954,8,28
1955,14,19
1956,17,13
1957,14,23
1958,11,18
1959,22,26
1960,18,10
1961,14,10
1962,8,18
1963,9,12
1964,17,16
1965,23,16
1966,11,20
1967,16,11
1968,12,23
1969,16,19
1970,16,18
1971,14,15
1972,17,18
1973,9,16
1974,12,16
1975,23,14
1976,16,13
1977,25,19
1978,10,17
1979,10,14
1980,20,18
1981,11,15
1982,13,17
1983,13,12
1984,13,16
1985,16,19
1986,11,14
1987,15,15
1988,16,12
1989,16,10
1990,17,12
1991,19,21
1992,17,13
1993,14,6
1994,23,9
1995,21,17
1996,17,11
1997,19,10
1998,17,10
1999,20,6
2000,11,9
2001,22,8
2002,11,13
2003,9,9
2004,19,8
2005,22,10
2006,13,9
2007,13,9
2008,16,6
2009,9,0
2010,14,0
2011,8,0
2012,11,0
2013,0,5
2014,5,9
2015,6,0
2016,9,0
2017,6,0
2018,0,0
2019,6,0
